series,代码,名称,市盈率,市净率,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,固定资产,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,BBI,ARBR,KDJ,BOLL,OBV,BIAS,MACD,MA,PSY,WVAD,CD,MI,DMI-QLL,ABV,Z-SCORE,122日涨幅,122日振幅,122日换手,122日总量,92日涨幅,92日振幅,92日换手,92日总量,GB
1256,'000980',众泰汽车,179.407,2.601,0.0171,7.533,0.0144,-0.0392,6.32,0.201,53.939,11.73,41.13,18.209,7.531,405248,60133,185751,218588,126700,-7167,-4712,4490,53510,9602,3870,3849,3123,36784,183005,52814,52814,11.454,87.433,23.108,12.075,36648600,-3.021,-0.456,10.994,50,-227317.563,-2.14,-1.11,21.674,1466.678,1.368,-0.3114,0.4033,2.1341,11271115,-0.2187,0.3036,1.4391,7600382,-0.311
947,'000420',吉林化纤,199.393,2.471,0.0172,1.388,0.0124,0.0032,0.705,-0.414,57.89,1219.6,71.3,11.543,1.388,472459,145621,199808,273506,138956,634,-37089,1111,49922,5326,3683,3782,3381,-81571,197071,98661,98661,3.327,143.011,81.643,3.174,144377920,1.815,0.078,3.416,58.333,1212537.75,0.27,0.35,30.207,5779.501,0.686,-0.1602,0.3107,0.9855,9723525,-0.0749,0.2299,0.7149,7052900,-0.137
1676,'002474',榕基软件,542.881,4.157,0.0174,2.262,0.0077,-0.045,0.594,0.562,65.057,64.26,36.06,33.961,2.261,217313,3311,75070,141377,36936,-2799,-25333,-18361,14386,4842,681,991,1086,35573,62220,44673,44673,10.082,58.891,22.989,10.613,57139764,-3.428,-0.308,9.73,33.333,-158522.563,-1.605,-1.36,9.266,2285.139,2.058,-0.2872,0.3186,1.1861,5298495,-0.1777,0.2278,0.8865,3960164,-0.228
55,'600078',澄星股份,370.992,2.328,0.0175,2.759,0.0063,0.252,0.589,0.948,25.786,3.93,20.23,18.243,2.614,716646,212156,510981,184792,39005,16727,-10554,17970,73272,12772,2133,2175,1161,64811,66257,66257,66257,6.254,142.991,59.943,6.165,109586904,5.165,0.066,6.2,66.667,438679.125,0.374,0.41,51.403,4375.916,0.266,-0.1438,0.2915,0.9967,6603758,-0.0282,0.1988,0.5991,3969453,-0.118
1252,'000975',银泰资源,753.312,3.749,0.0175,3.517,0.005,-0.125,1.896,0.412,80.695,-8.59,0.7,60.044,3.514,471373,65504,6321,380374,205087,-13472,35946,17084,9845,5094,3305,3299,1889,44568,108162,87852,87852,13.052,101.441,61.596,12.888,51951844,2.478,0.078,12.9,66.667,313271,-0.128,0.57,24.085,2076.831,36.459,-0.1408,0.2733,0.6061,5324830,-0.0614,0.1708,0.384,3373462,-0.093
1874,'002723',金莱特,1075.677,5.482,0.0176,3.454,0.0051,0.225,1.198,1.07,58.578,-49.57,40.44,8.062,3.454,110074,45335,45594,64479,22371,4205,-601,-29,27692,2046,342,378,329,19972,18670,10360,10360,19.377,95.62,36.956,19.863,7415426,1.308,-0.232,18.764,33.333,27851.604,-0.659,-1.46,28.005,296.687,1.42,-0.2654,0.4069,1.5179,1572567,-0.1831,0.2797,0.9442,978172,-0.248
1550,'002332',仙琚制药,258.042,2.109,0.0177,2.38,0.0073,-0.0692,0.959,0.284,62.782,19.46,8.37,50.033,2.371,357095,88222,132040,224190,118397,-6337,-3549,-10237,56605,27802,1456,1515,1624,32165,91621,68324,68324,8.094,93.103,21.811,8.295,27462034,-2.253,-0.071,7.944,41.667,-94711.133,-0.503,-0.69,9.076,1098.829,1.553,-0.1118,0.2513,0.7559,5164637.5,-0.031,0.2444,0.4487,3065830,-0.121
1542,'002323',雅百特,559.44,1.434,0.0177,1.112,0.016,-0.264,0.122,0.746,37.678,15.79,68.96,33.846,1.102,220165,1761,137172,82954,9061,-19693,-66,3112,15580,5242,1606,1742,1319,55629,74573,27322,27322,9.821,89.706,62.84,10.095,13354973,3.882,-0.164,9.65,33.333,351530.75,-0.931,-0.64,16.56,530.65,1.225,-0.4301,0.6338,4.873,13314012,-0.222,0.4416,3.2751,8948207,-0.425
2152,'300200',高盟新材,586.79,3.183,0.0178,5.436,0.0059,-0.0755,4.001,0.324,90.08,-73.01,25.36,19.586,5.435,87421,20999,8672,78749,41799,-1967,4512,2545,14250,2699,502,547,464,12706,26065,20332,20332,12.741,50.439,11.121,13.66,14713315,-3.149,-0.525,12.038,8.333,-50395.109,-1.878,-2.65,8.53,588.661,6.534,-0.3043,0.3367,0.6099,1240018,-0.1732,0.2577,0.3719,756211,-0.252
139,'600191',华资实业,799.017,3.142,0.018,4.567,0.004,-0.023,1.305,0.654,85.137,333.28,2332.15,-1.43,4.567,260714,12490,38141,221963,63283,-1117,-1966,-3283,5991,-214,871,871,872,32205,48493,48493,48493,12.756,252.298,92.566,10.872,53815144,6.966,1.193,13.88,75,2754764.75,5.058,4.11,42.593,2146.662,3.723,0.3143,0.5888,2.6774,12983557,0.614,0.723,2.32,11250489,0.463
2321,'300405',科隆股份,670.432,1.529,0.0181,7.921,0.0023,-0.556,4.715,1.926,53.265,53.3,7.6,24.223,7.921,174340,21158,81398,92862,59183,-6522,-886,-19,15065,3487,260,270,212,22584,11723,4801,4801,19.343,92.849,13.916,20.54,1550187.5,-2.197,-0.761,18.41,33.333,-20062.135,-1.95,-2.92,13.457,62.099,1.204,-0.3985,0.4091,2.2544,1082311,-0.179,0.2535,1.6191,777340,-0.305
476,'600662',强生控股,404.605,2.38,0.0183,3.111,0.0059,-0.0331,0.729,0.966,50.925,-46.92,-22.74,14.733,3.085,643437,211054,278301,327673,76741,-3487,-22758,-26951,89831,12198,2932,3256,1928,101726,105336,105336,105336,7.664,125.225,20.096,7.966,122058416,-0.621,-0.176,7.456,50,1425.714,-1.256,-0.61,20.261,4881.12,1.012,-0.2852,0.3158,0.5678,5981309,-0.1818,0.2202,0.4197,4420669,-0.261
